'y-axis saved as y
'x,KHM052_h-CuMnAs_reflection_3_21_19_2.raw,Ycalc
6.79143857,89,104.677626
6.81193283,108,105.565038
6.83242709,95,106.456493
6.85292136,112,107.351893
6.87341562,109,108.251145
6.89390988,94,109.154161
6.91440415,95,110.060859
6.93489841,122,110.971173
6.95539267,110,111.885047
6.97588693,104,112.802444
6.9963812,111,113.723352
7.01687546,106,114.647789
7.03736972,103,115.57582
7.05786398,122,116.507576
7.07835825,115,117.443282
7.09885251,103,118.383309
7.11934677,121,119.328247
7.13984103,110,120.279042
7.1603353,112,121.237221
7.18082956,142,122.205318
7.20132382,137,123.187334
7.22181808,114,124.188385
7.24231235,136,125.212377
7.26280661,129,126.254276
7.28330087,137,127.281413
7.30379513,151,128.231074
7.3242894,137,129.090007
7.34478366,132,129.945168
7.36527792,136,130.806294
7.38577218,117,131.705658
7.40626645,127,132.638891
7.42676071,167,133.589257
7.44725497,134,134.546037
7.46774923,137,135.505352
7.4882435,144,136.465949
7.50873776,146,137.427291
7.52923202,154,138.389066
7.54972628,132,139.351052
7.57022055,131,140.313064
7.59071481,145,141.274892
7.61120907,151,142.2363
7.63170333,150,143.19717
7.6521976,160,144.157389
7.67269186,152,145.116824
7.69318612,175,146.075334
7.71368038,145,147.032779
7.73417465,150,147.989021
7.75466891,148,148.94392
7.77516317,148,149.897338
7.79565743,148,150.849138
7.8161517,139,151.799181
7.83664596,161,152.74733
7.85714022,165,153.693449
7.87763448,179,154.6374
7.89812875,157,155.579048
7.91862301,172,156.518259
7.93911727,166,157.454902
7.95961153,168,158.388845
7.9801058,161,159.319962
8.00060006,153,160.248135
8.02109432,163,161.173252
8.04158858,155,162.095221
8.06208285,153,163.01399
8.08257711,184,163.929578
8.10307137,179,164.84212
8.12356563,167,165.7519
8.1440599,160,166.659405
8.16455416,164,167.56539
8.18504842,156,168.470977
8.20554269,180,169.377834
8.22603695,168,170.288449
8.24653121,171,171.206569
8.26702547,180,172.137918
8.28751974,171,173.091477
8.308014,172,174.081908
8.32850826,203,175.134194
8.34900252,182,176.290014
8.36949679,191,177.602028
8.38999105,233,179.082171
8.41048531,247,180.558482
8.43097957,236,181.504956
8.45147384,246,181.639763
8.4719681,200,181.861718
8.49246236,198,182.14118
8.51295662,199,182.469435
8.53345089,192,183.013362
8.55394515,192,183.70573
8.57443941,207,184.449753
8.59493367,151,185.205558
8.61542794,182,185.961923
8.6359222,183,186.714934
8.65641646,212,187.462774
8.67691072,223,188.204436
